Employee_ID,Employe_Name,Gender,Age,Date_of_Birth,Branch ,Department,Job_Role,Salary_Level,Work_Location,Joining_Date,Leaving_Date,Tenure_at_Company,Promotion_Attained,Still_Employed,Reason_for_Leaving,Satisfaction_Level,Engagement_Score,Performance_Rating,Average_Monthly_Work_Hours,Absenteeism_Days,Burnout_Risk,Yearly_Satisfaction_Feedback,Yearly_Engagement,Yearly_Work_Hours,Engagement_vs_Company,Absenteeism_vs_Company,Performance_vs_Company,Engagement_Change,Total_Training_Hours,Attended_Training_Hours,Absenteeism_Training_Hours,Attrition_Status
364,Melvin Braun,Female,38,4/29/1987,South_Africa,Support,Manager,High,On Site,10/21/2000,6/28/2001,0,No,No,Financial Problem,0.27,0.37,5,256,17,High,3,5,3072,-0.12354,1.832,2.042,4.63,50,3,3,Yes
155,Juan Wunsch,Female,35,10/8/1989,India,Support,Engineer,Medium,Remote,1/9/2001,11/5/2001,0,Yes,No,Burn Out,0.41,0.07,1,181,21,Low,4,5,2172,-0.42354,5.832,-1.958,4.93,30,27,4,Yes
147,Billy Leuschke,Male,32,8/26/1992,India,Technical,Executive,High,Work From Home,9/26/2001,6/26/2002,0,Yes,No,Work Environment,0.03,0.94,1,233,11,Medium,2,4,2796,0.44646,-4.168,-1.958,3.06,45,32,4,Yes
17,Roman Turner III,Female,58,3/25/1967,United_Kingdom,Technical,Executive,High,On Site,11/29/2001,11/23/2002,0,Yes,No,Burn Out,0.61,0.5,5,248,18,High,2,5,2976,0.00646,2.832,2.042,4.5,35,23,0,Yes
46,Jerald Parker,Female,41,7/12/1983,Singapore,Finance,Analyst,Medium,On Site,11/29/2001,8/13/2002,0,Yes,No,Personal Issue,0.1,0.05,5,195,8,Low,4,4,2340,-0.44354,-7.168,2.042,3.95,60,17,3,Yes
301,Rudy Heaney,Male,35,1/13/1990,United_Kingdom,Management,Engineer,Medium,Work From Home,10/8/2002,3/1/2003,0,No,No,Health Issues,0.3,0.29,4,178,22,Low,2,4,2136,-0.20354,6.832,1.042,3.71,30,7,0,Yes
379,Nicholas Wisozk,Female,53,6/10/1971,India,Management,Engineer,Medium,On Site,3/13/2003,6/19/2003,0,Yes,No,Low Pay,0.01,0.72,1,212,24,Medium,1,3,2544,0.22646,8.832,-1.958,2.28,35,26,4,Yes
283,Pete Ritchie,Female,38,3/24/1987,India,IT,Engineer,Medium,Work From Home,7/25/2003,4/24/2004,0,No,No,Low Pay,0.54,0.15,1,228,21,Medium,5,3,2736,-0.34354,5.832,-1.958,2.85,60,56,7,Yes
76,Floyd Boehm,Male,27,9/1/1998,South_Africa,Management,Engineer,Medium,On Site,10/27/2004,10/31/2004,0,Yes,No,Financial Problem,0.24,0.5,5,240,0,Medium,5,5,2880,0.00646,-15.168,2.042,4.5,30,6,1,Yes
19,Kent Huels,Female,55,12/29/1969,India,Management,Clerk,Low,Remote,4/14/2005,11/6/2005,0,No,No,Work Environment,0.82,0.8,1,243,26,High,5,3,2916,0.30646,10.832,-1.958,2.2,50,35,5,Yes
472,Leona Mertz,Female,37,8/29/1987,South_Africa,Finance,Engineer,Medium,Remote,9/8/2005,12/22/2005,0,Yes,No,Financial Problem,0.38,0.14,5,129,27,Low,2,1,1548,-0.35354,11.832,2.042,0.86,55,22,1,Yes
484,Loren Metz,Female,24,12/26/2000,South_Africa,IT,Clerk,Low,Remote,10/6/2005,2/23/2006,0,No,No,Personal Issue,0.48,0.32,2,203,5,Medium,5,3,2436,-0.17354,-10.168,-0.958,2.68,55,15,6,Yes
121,Randolph Hammes,Female,37,11/17/1987,United_Kingdom,Support,Manager,High,On Site,8/21/2006,11/16/2006,0,No,No,Personal Issue,0.77,0.42,4,252,0,High,1,3,3024,-0.07354,-15.168,1.042,2.58,30,3,5,Yes
209,Dr. Claude Marquardt,Male,49,5/23/1976,United_Kingdom,Sales,Clerk,Low,Remote,10/25/2006,4/4/2007,0,No,No,Low Pay,0.1,0.66,2,157,14,Low,4,1,1884,0.16646,-1.168,-0.958,0.34,50,11,7,Yes
88,Geraldine Schneider,Female,58,9/30/1966,South_Africa,Finance,Manager,High,Remote,3/30/2007,6/6/2007,0,No,No,Burn Out,0.71,0.49,2,216,21,Medium,5,4,2592,-0.00354,5.832,-0.958,3.51,50,40,0,Yes
186,Kenneth Kemmer,Female,44,1/21/1981,Singapore,Technical,Manager,High,On Site,4/15/2007,9/24/2007,0,No,No,Health Issues,0.56,0.73,4,127,21,Low,4,2,1524,0.23646,5.832,1.042,1.27,45,8,6,Yes
197,Dr. Kenneth Hegmann,Female,39,8/29/1985,United_Kingdom,Sales,Executive,High,Remote,6/12/2007,8/23/2007,0,No,No,Low Pay,0.22,0.62,4,150,18,Low,5,3,1800,0.12646,2.832,1.042,2.38,50,47,3,Yes
156,Dustin Fay-Beatty,Male,35,11/21/1989,South_Africa,Support,Engineer,Medium,On Site,8/21/2008,6/10/2009,0,Yes,No,Financial Problem,0.59,0.16,3,208,24,Medium,4,2,2496,-0.33354,8.832,0.042,1.84,50,45,7,Yes
495,Bonnie Trantow I,Male,59,1/4/1966,India,Technical,Clerk,Low,Remote,8/24/2008,7/11/2009,0,Yes,No,Work Environment,0.41,0.73,1,193,9,Low,1,5,2316,0.23646,-6.168,-1.958,4.27,60,7,0,Yes
100,Peggy Schoen II,Female,44,5/18/1981,South_Africa,Management,Executive,High,On Site,6/24/2009,5/25/2010,0,No,No,Burn Out,0.66,0.03,3,191,21,Low,1,5,2292,-0.46354,5.832,0.042,4.97,55,53,3,Yes
464,Georgia Wyman,Female,44,8/6/1981,South_Africa,Technical,Engineer,Medium,Work From Home,7/30/2009,1/28/2010,0,No,No,Work Environment,0.64,0.26,4,230,3,Medium,1,3,2760,-0.23354,-12.168,1.042,2.74,60,50,2,Yes
165,Francis Kunze-Grady,Female,31,3/17/1994,United_Kingdom,Sales,Manager,High,On Site,3/8/2010,2/27/2011,0,Yes,No,Low Pay,0.86,0.77,3,191,24,Low,4,1,2292,0.27646,8.832,0.042,0.23,55,48,2,Yes
116,Merle Casper,Female,42,4/17/1983,South_Africa,Sales,Engineer,Medium,Work From Home,7/20/2010,1/2/2011,0,No,No,Financial Problem,0.12,0.73,3,191,17,Low,3,5,2292,0.23646,1.832,0.042,4.27,60,6,4,Yes
328,Mr. Noah Treutel,Male,48,7/29/1976,South_Africa,Finance,Clerk,Low,Remote,10/22/2010,11/19/2010,0,No,No,Work Environment,0.66,0.12,1,153,18,Low,1,1,1836,-0.37354,2.832,-1.958,0.88,45,39,0,Yes
42,Jeremy Kunde,Female,50,2/7/1975,Singapore,IT,Analyst,Medium,Work From Home,11/13/2010,1/16/2011,0,No,No,Health Issues,0.04,0.62,1,209,7,Medium,5,2,2508,0.12646,-8.168,-1.958,1.38,45,3,4,Yes
436,Deanna Hane,Male,48,6/25/1977,South_Africa,Sales,Engineer,Medium,Remote,2/11/2011,1/12/2012,0,No,No,Financial Problem,0.87,0.52,3,159,17,Low,2,1,1908,0.02646,1.832,0.042,0.48,60,22,3,Yes
213,Mr. Jack O'Reilly,Male,46,3/21/1979,United_Kingdom,Management,Analyst,Medium,On Site,3/7/2011,9/14/2011,0,No,No,Burn Out,0.24,0.12,3,232,23,Medium,5,3,2784,-0.37354,7.832,0.042,2.88,50,19,0,Yes
354,Alejandro Goodwin I,Female,45,4/29/1980,Singapore,Management,Analyst,Medium,On Site,4/10/2011,12/6/2011,0,Yes,No,Burn Out,0.14,0.6,3,139,26,Low,1,4,1668,0.10646,10.832,0.042,3.4,45,4,1,Yes
80,Dr. Kenny Franey,Male,41,11/29/1983,South_Africa,Technical,Analyst,Medium,Remote,7/10/2011,8/22/2011,0,No,No,Burn Out,0.53,0.71,5,245,10,High,4,5,2940,0.21646,-5.168,2.042,4.29,30,26,3,Yes
